phase,phase_time_label,phase_name_ar,component,red_action,red_why,blue_action,blue_why,combined_effect,red_inventory,red_cum_losses,blue_inventory,blue_cum_losses,red_ammo,blue_ammo
6,D+2h,اقتحام الشاطئ - المرحلة 1 (طلائع),ew,R-d3-405-014: Conduct continuous jamming of Blue's C2 systems to degrade their operational effectiveness.,To maintain EW pressure and disrupt Blue's coordination. [refs: EW persistent throughout doctrine],B-d1-505-022: Conduct counter-jamming operations to restore C2 effectiveness.,Restoring C2 is critical to maintain operational effectiveness against Red's jamming.,,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",26,"naval 6/6, air 19/19, ground 64/64",26,"magazines=384, airframes=206, hulls=400","magazines=240, airframes=156, hulls=8"
7,D+6h,المرحلة 2أ - الموجة الرئيسية للفرقة 4,strategic,R-d0-500-077: Held in reserve — preserving SSM magazine for H-hour saturation salvo per opening-day concentration doctrine.,"Strategic SSMs are preserved for decisive engagement moments to maximize impact. [refs: AJP-3.1 Ed B, FM 3-09 §3-15]",B-d0-99-000: Held position — preserving strategic strike capability for Red culmination per ADP 3-0.,Strategic strikes are held to maximize impact during Red's culmination phase. [refs: ADP 3-0],"Red's main wave faced significant challenges as Blue's layered defenses held firm. Red's landing ships were heavily interdicted by Blue's corvettes, and minefields inflicted losses on Red's naval assets. Red's attack helicopters faced strong resistance from Blue's F-16s, limiting their effectiveness in providing close air support. Red's kamikaze UAVs were largely intercepted, preserving Blue's radar installations. Despite Red's efforts to disrupt Blue's C2 with SOF raids and jamming, Blue maintained operational coordination. Force ratio 0.26:1 < 1.5:1 per FM 3-90 — BLUE_ADV holds as Red approaches culmination.","strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",31,"naval 6/6, air 19/19, ground 64/64",31,"magazines=384, airframes=200, hulls=382","magazines=240, airframes=154, hulls=8"
7,D+6h,المرحلة 2أ - الموجة الرئيسية للفرقة 4,maritime,R-d3-60-028: Deploy remaining landing ships to reinforce beachhead and increase throughput.,"Increase mass at the decisive point by reinforcing the beachhead with additional troops and equipment. [refs: Doctrines.md §4, Doctrines.md §5]",B-d1-8-031: Deploy corvettes to interdict Red landing ships and protect minefields.,Interdicting Red's reinforcement efforts aligns with maintaining control over the beachhead and exploiting remaining sea mines. [refs: Doctrines.md [1]],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",31,"naval 6/6, air 19/19, ground 64/64",31,"magazines=384, airframes=200, hulls=382","magazines=240, airframes=154, hulls=8"
7,D+6h,المرحلة 2أ - الموجة الرئيسية للفرقة 4,air,R-d3-12-008: Launch attack helicopters to provide close air support for landing forces.,"Enhance operational tempo by providing direct support to ground forces, exploiting gaps in Blue's defense. [refs: Doctrines.md §2, AJP-3.1 Ed B]",B-d2-3-048: Launch F-16 squadron to counter Red attack helicopters providing CAS.,Neutralizing Red's air support is crucial to maintaining the effectiveness of our ground defenses. [refs: ATP 3-01.8 Combined Arms for Air Defense],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",31,"naval 6/6, air 19/19, ground 64/64",31,"magazines=384, airframes=200, hulls=382","magazines=240, airframes=154, hulls=8"
7,D+6h,المرحلة 2أ - الموجة الرئيسية للفرقة 4,mines,R-d3-9-044: Deploy mine layers to create defensive minefields around the beachhead.,Protect the landing area from Blue's naval counterattacks by establishing a minefield barrier. [refs: WarReferences.md §1],B-d1-400-045: Monitor and adjust minefields to counter Red's defensive mining efforts.,Maintaining the effectiveness of our minefields is critical to disrupting Red's landing operations. [refs: Doctrines.md [1]],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",31,"naval 6/6, air 19/19, ground 64/64",31,"magazines=384, airframes=200, hulls=382","magazines=240, airframes=154, hulls=8"
7,D+6h,المرحلة 2أ - الموجة الرئيسية للفرقة 4,usv_uav,R-d3-16-063: Launch kamikaze UAVs to target Blue's coastal radar installations.,"Disrupt Blue's maritime situational awareness and targeting capabilities. [refs: AJP-3.1 Ed B, FM 3-09 §3-15]",B-d2-5-057: Deploy F-16s to intercept kamikaze UAVs targeting coastal radar installations.,Protecting radar installations is essential for maintaining situational awareness and air defense capabilities. [refs: ATP 3-01.81 C-UAS],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",31,"naval 6/6, air 19/19, ground 64/64",31,"magazines=384, airframes=200, hulls=382","magazines=240, airframes=154, hulls=8"
7,D+6h,المرحلة 2أ - الموجة الرئيسية للفرقة 4,sof,R-d2-214-076: Conduct SOF raids on Blue's C2 nodes inland.,Disrupt Blue's command and control to degrade their operational coordination. [refs: WarReferences.md §3],B-d1-504-021: Enhance security around C2 nodes to counter Red SOF raids.,Protecting C2 infrastructure is vital for maintaining command and control. [refs: Doctrines.md [2]],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",31,"naval 6/6, air 19/19, ground 64/64",31,"magazines=384, airframes=200, hulls=382","magazines=240, airframes=154, hulls=8"
7,D+6h,المرحلة 2أ - الموجة الرئيسية للفرقة 4,land,R-d2-4-004: Advance inland from the beachhead to secure key terrain.,Exploit operational tempo to gain control of strategic positions before Blue can reinforce. [refs: Doctrines.md §5],B-d1-51-001: Hold position — reinforcing defensive positions to absorb Red's inland advance.,Holding prepared positions maximizes defensive advantage and forces Red into costly engagements. [refs: Doctrines.md [3]],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",31,"naval 6/6, air 19/19, ground 64/64",31,"magazines=384, airframes=200, hulls=382","magazines=240, airframes=154, hulls=8"
7,D+6h,المرحلة 2أ - الموجة الرئيسية للفرقة 4,ew,R-d3-405-014: Continue persistent jamming of Blue's communications.,Maintain pressure on Blue's C2 to prevent effective coordination and response. [refs: FM 3-09 §3-15],B-d1-505-022: Conduct counter-jamming operations to mitigate Red's persistent jamming.,Maintaining communication integrity is crucial for coordinated defense. [refs: ATP 3-01.7 ADA Brigade Techniques],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",31,"naval 6/6, air 19/19, ground 64/64",31,"magazines=384, airframes=200, hulls=382","magazines=240, airframes=154, hulls=8"
8,D+12h,تكوين رأس الجسر,strategic,R-d0-500-077: Held in reserve — preserving SSM magazine for future saturation strikes per operational tempo doctrine.,Maintaining strategic strike capability for decisive phases where saturation can achieve maximum disruption. [refs: Operational tempo over methodical advance],,,"Red's attempt to consolidate the beachhead was met with strong Blue resistance. Red destroyers providing naval gunfire support were partially neutralized by Blue corvettes, while Red's attack helicopters faced significant losses from Blue fighter intercepts. Red's mine clearance efforts were severely hampered by Blue's reinforced minefields, and kamikaze UAVs targeting Blue's radar installations achieved limited success due to active Blue countermeasures. Overall, Red's operational momentum was blunted, with Blue maintaining a defensive advantage.","strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",35,"naval 6/6, air 19/19, ground 64/64",35,"magazines=384, airframes=194, hulls=380","magazines=240, airframes=153, hulls=8"
8,D+12h,تكوين رأس الجسر,maritime,R-d3-10-030: Deploy destroyers to provide naval gunfire support and protect landing operations from Blue's corvette interdictions.,Ensure safe passage for landing forces and counter Blue's naval threats to maintain momentum. [refs: Mass at the decisive point],B-d1-8-031: Deploy corvettes to interdict Red destroyers providing naval gunfire support.,"Prevent Red from effectively supporting their beachhead consolidation with naval firepower, leveraging our local maritime advantage. [refs: Doctrines.md — Application: Blue is in area defense at coast]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",35,"naval 6/6, air 19/19, ground 64/64",35,"magazines=384, airframes=194, hulls=380","magazines=240, airframes=153, hulls=8"
8,D+12h,تكوين رأس الجسر,air,R-d3-12-008: Launch attack helicopters to provide close air support for ground forces consolidating the beachhead.,Enhance ground force effectiveness by disrupting Blue's defensive positions and supporting maneuver. [refs: Vertical envelopment],B-d2-3-048: Launch fighter aircraft to intercept Red attack helicopters providing close air support.,Maintain air superiority and prevent Red from effectively supporting their ground forces. [refs: Doctrines.md — Application: This is an LSCO scenario. Blue defends in depth],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",35,"naval 6/6, air 19/19, ground 64/64",35,"magazines=384, airframes=194, hulls=380","magazines=240, airframes=153, hulls=8"
8,D+12h,تكوين رأس الجسر,mines,R-d3-403-012: Deploy engineering units to clear minefields obstructing the inland advance.,Facilitate maneuver by breaching Blue's mine and obstacle belts. [refs: Combined-arms mobility],B-d1-503-020: Deploy engineering units to reinforce minefields and counter Red's mine clearance efforts.,Preserve the effectiveness of our minefields as a critical defensive measure against Red's inland advance. [refs: Doctrines.md — Application: Blue is in area defense at coast],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",35,"naval 6/6, air 19/19, ground 64/64",35,"magazines=384, airframes=194, hulls=380","magazines=240, airframes=153, hulls=8"
8,D+12h,تكوين رأس الجسر,usv_uav,R-d3-16-063: Launch kamikaze UAVs to target Blue's coastal radar installations.,Degrade Blue's surveillance and targeting capabilities to protect Red forces. [refs: Saturation strikes],B-d1-4-035: Activate remaining coastal radar systems to detect and track incoming kamikaze UAVs.,"Mitigate the impact of Red's UAV strike on our radar installations, preserving situational awareness. [refs: Doctrines.md — Application: Blue defends in depth]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",35,"naval 6/6, air 19/19, ground 64/64",35,"magazines=384, airframes=194, hulls=380","magazines=240, airframes=153, hulls=8"
8,D+12h,تكوين رأس الجسر,sof,R-d1-21-073: Conduct special reconnaissance to identify Blue's reserve positions and C2 nodes.,Gather intelligence to exploit gaps and disrupt Blue's command structure. [refs: Vertical envelopment],,,,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",35,"naval 6/6, air 19/19, ground 64/64",35,"magazines=384, airframes=194, hulls=380","magazines=240, airframes=153, hulls=8"
8,D+12h,تكوين رأس الجسر,land,"R-d2-4-004: Mechanized infantry to consolidate and expand the beachhead, preparing for further inland operations.",Strengthen the foothold and prepare for subsequent advances towards OBJ-X. [refs: Operational tempo over methodical advance],B-d1-51-001: Hold position — preserving combat power for Red culmination per ADP 3-0.,"Avoid premature engagement, allowing Red to reach culmination point before counterattack. [refs: Doctrines.md — Application: Culmination of Red triggers committed counterattack]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",35,"naval 6/6, air 19/19, ground 64/64",35,"magazines=384, airframes=194, hulls=380","magazines=240, airframes=153, hulls=8"
8,D+12h,تكوين رأس الجسر,ew,R-d3-405-014: Continue jamming operations to disrupt Blue's C2 and communication networks.,Maintain pressure on Blue's command and control to limit their coordination and response. [refs: EW persistent throughout],B-d1-505-022: Conduct counter-jamming operations to restore C2 and communication networks.,Ensure effective communication and coordination across Blue forces despite Red's jamming efforts. [refs: Doctrines.md — Application: Blue defends in depth],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",35,"naval 6/6, air 19/19, ground 64/64",35,"magazines=384, airframes=194, hulls=380","magazines=240, airframes=153, hulls=8"
9,D+24h,الهجوم الأزرق المضاد الأول (لواء 72 المدرع),strategic,R-d0-500-077: Held in reserve — preserving SSM magazine for H-hour saturation salvo per opening-day concentration doctrine.,To maintain strategic strike capability for future decisive phases. [refs: Doctrines.md §4],,,"Blue's 72nd Armored Brigade executed a counterattack at the 9.5 km phase line, exploiting Red's culmination. Red's mechanized infantry was delayed, suffering significant attrition under Blue's prepared defense. Red's MiG-29s were intercepted by Blue's F-16s, resulting in airframe losses. Red's kamikaze UAVs were largely neutralized by Blue's UAVs, preserving Blue's radar installations. Red's naval gunfire support was ineffective against Blue's entrenched positions.","strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",39,"naval 6/6, air 19/19, ground 64/64",39,"magazines=384, airframes=191, hulls=380","magazines=240, airframes=150, hulls=8"
9,D+24h,الهجوم الأزرق المضاد الأول (لواء 72 المدرع),maritime,R-d3-10-030: Deploy destroyers to provide naval gunfire support and protect landing craft from Blue's interdiction efforts.,To support the amphibious assault and ensure safe passage for landing forces. [refs: Doctrines.md §5],"B-d1-8-031: Held position — preserving naval assets in port to avoid engagement with Red destroyers, per doctrine of economy of force.",Red's destroyers are providing naval gunfire support. Engaging them directly would risk unnecessary losses without decisive gain. [refs: Doctrines.md — Application: Blue is in area defense at coast + mobile defense in depth with reserves.],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",39,"naval 6/6, air 19/19, ground 64/64",39,"magazines=384, airframes=191, hulls=380","magazines=240, airframes=150, hulls=8"
9,D+24h,الهجوم الأزرق المضاد الأول (لواء 72 المدرع),air,R-d3-11-049: Launch MiG-29 squadron to counter Blue's air superiority efforts and provide air cover for naval operations.,To maintain air superiority and protect naval assets during the landing phase. [refs: Doctrines.md §5],B-d2-3-048: Launch F-16 squadron to intercept Red's MiG-29s and maintain air superiority over the AOI.,"Counter Red's air cover efforts to protect naval operations, ensuring Blue's air superiority is maintained. [refs: Doctrines.md — Tenet: Air component supports maritime component through anti-submarine, anti-surface, ISR, fleet AD.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",39,"naval 6/6, air 19/19, ground 64/64",39,"magazines=384, airframes=191, hulls=380","magazines=240, airframes=150, hulls=8"
9,D+24h,الهجوم الأزرق المضاد الأول (لواء 72 المدرع),usv_uav,R-d3-16-056: Deploy kamikaze UAVs to target Blue's coastal radar installations.,To disrupt Blue's detection capabilities and support Red's naval and air operations. [refs: Doctrines.md §5],B-d1-501-014: Deploy UAVs to detect and disrupt Red's kamikaze UAVs targeting coastal radar installations.,"Protect critical radar installations from UAV attacks to maintain situational awareness and targeting capabilities. [refs: Doctrines.md — Tenet: Six air-power roles: counter-air, counter-land, counter-sea, strategic attack, ISR, contribution to JIPOE.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",39,"naval 6/6, air 19/19, ground 64/64",39,"magazines=384, airframes=191, hulls=380","magazines=240, airframes=150, hulls=8"
9,D+24h,الهجوم الأزرق المضاد الأول (لواء 72 المدرع),sof,R-d1-21-073: Conduct SOF raids on Blue's rear-area C2 nodes.,To disrupt Blue's command and control and create chaos in their rear areas. [refs: Doctrines.md §1],,,,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",39,"naval 6/6, air 19/19, ground 64/64",39,"magazines=384, airframes=191, hulls=380","magazines=240, airframes=150, hulls=8"
9,D+24h,الهجوم الأزرق المضاد الأول (لواء 72 المدرع),land,R-d2-4-004: Engage Blue's 72nd Armored Brigade with mechanized infantry to delay their counterattack.,To prevent Blue from exploiting Red's culmination and maintain pressure on Blue's defenses. [refs: Doctrines.md §2],B-d2-514-004: Engage Red's mechanized infantry with 72nd Armored Brigade at the 9.5 km phase line.,"Counterattack Red's forces as they approach culmination, exploiting the prepared defense advantage. [refs: Doctrines.md — Tenet: Defense types: area defense, mobile defense, retrograde.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",39,"naval 6/6, air 19/19, ground 64/64",39,"magazines=384, airframes=191, hulls=380","magazines=240, airframes=150, hulls=8"
9,D+24h,الهجوم الأزرق المضاد الأول (لواء 72 المدرع),ew,R-d3-405-014: Conduct persistent jamming operations against Blue's C2 networks.,To maintain electronic warfare pressure and disrupt Blue's communication. [refs: Doctrines.md §1],B-d1-505-022: Conduct electronic countermeasures to disrupt Red's jamming operations against Blue's C2 networks.,"Maintain effective communication and coordination across Blue forces despite Red's jamming efforts. [refs: Doctrines.md — Tenet: Engagement areas, battle positions, obstacle plan tied to fires plan.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",39,"naval 6/6, air 19/19, ground 64/64",39,"magazines=384, airframes=191, hulls=380","magazines=240, airframes=150, hulls=8"
10,D+36h,الفرقة 9 تلتحق - دفع 8-10 كم,strategic,R-d0-500-077: Held in reserve — preserving SSM magazine for H-hour saturation salvo per opening-day concentration doctrine.,Strategic missiles are reserved to maintain pressure during a critical moment when Blue's defenses are overwhelmed. [refs: Doctrines.md §5],,,"Red's attempt to reinforce the beachhead with the 9th Mechanized Infantry Division faced significant challenges. Blue's coastal defenses, supported by fighter aircraft, effectively intercepted Red's attack helicopters, reducing their impact. Red's kamikaze UAVs managed to degrade some of Blue's coastal radar capabilities, but Blue's ISR UAVs mitigated the damage. Red's electronic warfare efforts were countered by Blue's ECM, maintaining Blue's C2 integrity. The minefield continued to pose a threat, delaying Red's maritime operations.","strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",43,"naval 6/6, air 19/19, ground 64/64",41,"magazines=384, airframes=189, hulls=380","magazines=240, airframes=150, hulls=8"
10,D+36h,الفرقة 9 تلتحق - دفع 8-10 كم,maritime,"R-d3-60-028: Deploy landing ships to deliver 9-MID to the beachhead, supported by hovercraft for rapid offload.","Utilizing naval assets to reinforce the beachhead aligns with amphibious doctrine, ensuring rapid deployment of forces. [refs: Doctrines.md §1]",B-d1-4-035: Deploy coastal radar systems to monitor and target Red's landing ships and hovercraft.,"Utilize coastal surveillance to engage Red's maritime forces, leveraging coastal artillery and missile systems. [refs: Doctrines.md - Coastal defense uses CDCM (coastal-defense cruise missiles), coastal artillery, surveillance, and naval forces in concert.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",43,"naval 6/6, air 19/19, ground 64/64",41,"magazines=384, airframes=189, hulls=380","magazines=240, airframes=150, hulls=8"
10,D+36h,الفرقة 9 تلتحق - دفع 8-10 كم,air,R-d3-12-008: Launch attack helicopters to provide close air support for 9-MID landing operations.,Air support is crucial to suppress Blue's defensive positions and facilitate the safe landing of ground forces. [refs: Doctrines.md §4],B-d2-3-048: Launch fighter aircraft to intercept and engage Red's attack helicopters providing close air support.,Deny Red air superiority and protect ground forces from aerial threats. [refs: Doctrines.md - Air defense planning at brigade and below. Active and passive measures.],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",43,"naval 6/6, air 19/19, ground 64/64",41,"magazines=384, airframes=189, hulls=380","magazines=240, airframes=150, hulls=8"
10,D+36h,الفرقة 9 تلتحق - دفع 8-10 كم,usv_uav,R-d3-16-067: Deploy kamikaze UAVs to target Blue's coastal radar installations.,Neutralizing radar installations will reduce Blue's ability to detect and respond to our landing operations. [refs: WarReferences.md],B-d1-501-014: Deploy ISR UAVs to detect and track kamikaze UAVs targeting coastal radar installations.,Enhance situational awareness and provide targeting data for air defense units. [refs: Doctrines.md - Combined arms bn (mech + armor + supports) is the lowest level for full combined-arms maneuver.],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",43,"naval 6/6, air 19/19, ground 64/64",41,"magazines=384, airframes=189, hulls=380","magazines=240, airframes=150, hulls=8"
10,D+36h,الفرقة 9 تلتحق - دفع 8-10 كم,sof,R-d1-21-073: Conduct raids on Blue's rear-area C2 nodes to disrupt command and control.,"Disrupting Blue's C2 aligns with vertical envelopment doctrine, creating chaos in their rear areas. [refs: Doctrines.md §5]",,,,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",43,"naval 6/6, air 19/19, ground 64/64",41,"magazines=384, airframes=189, hulls=380","magazines=240, airframes=150, hulls=8"
10,D+36h,الفرقة 9 تلتحق - دفع 8-10 كم,land,R-d2-9-017: Advance 9-MID from the beachhead to the 14 km phase line.,Maintaining operational tempo is crucial to exploit gaps and prevent Blue from consolidating their defenses. [refs: Doctrines.md §4],B-d1-51-001: Hold position — preserving combat power to counter Red's advance at culmination.,"Maintain defensive positions to absorb Red's initial push and prepare for counterattack. [refs: Doctrines.md - Engagement areas, battle positions, obstacle plan tied to fires plan.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",43,"naval 6/6, air 19/19, ground 64/64",41,"magazines=384, airframes=189, hulls=380","magazines=240, airframes=150, hulls=8"
10,D+36h,الفرقة 9 تلتحق - دفع 8-10 كم,ew,R-d3-405-014: Continue electronic jamming to disrupt Blue's communications and radar.,Persistent EW operations will degrade Blue's ability to coordinate and respond effectively. [refs: Doctrines.md §5],B-d1-505-022: Conduct electronic countermeasures to disrupt Red's jamming efforts.,Preserve communication and radar capabilities to maintain operational effectiveness. [refs: Doctrines.md - Air defense planning at brigade and below. Active and passive measures.],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",43,"naval 6/6, air 19/19, ground 64/64",41,"magazines=384, airframes=189, hulls=380","magazines=240, airframes=150, hulls=8"
11,D+48h,اندفاع نحو 40-50 كم,strategic,R-d0-500-077: Held in reserve — preserving SSM magazine for H-hour saturation salvo per opening-day concentration doctrine.,SSMs are critical for achieving saturation strikes at decisive moments; holding them now allows for a more impactful use later. [refs: Doctrines.md — Tenet: Amphibious operations have phases],,,"Red's attempt to push inland was met with strong Blue resistance. Red's destroyers provided naval gunfire support but were countered by Blue corvettes, resulting in mutual attrition. Red's Mirage strike squadron faced interception by Blue's F-16s, leading to losses on both sides. Red's engineering battalion faced significant delays due to Blue's reinforced minefields, while Red's kamikaze UAVs were largely intercepted by Blue's UAVs, preserving Blue's radar capabilities.","strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",49,"naval 6/6, air 19/19, ground 64/64",44,"magazines=384, airframes=185, hulls=378","magazines=240, airframes=148, hulls=8"
11,D+48h,اندفاع نحو 40-50 كم,maritime,R-d3-10-030: Deploy destroyers to provide naval gunfire support to advancing ground forces.,Naval gunfire support is essential for suppressing Blue's coastal defenses and supporting Red's inland push. [refs: Doctrines.md — Tenet: Combined-arms mobility],B-d1-8-031: Deploy 8 كورفيت to engage Red destroyers providing naval gunfire support.,"Counter Red's naval gunfire support to protect ground forces and maintain control of the coastal area. Utilize corvettes to disrupt Red's maritime operations. [refs: Doctrines.md - Countermobility = terrain reinforcement + obstacle employment to disrupt, fix, turn, or block enemy movement.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",49,"naval 6/6, air 19/19, ground 64/64",44,"magazines=384, airframes=185, hulls=378","magazines=240, airframes=148, hulls=8"
11,D+48h,اندفاع نحو 40-50 كم,air,R-d3-14-051: Launch Mirage strike squadron to conduct air interdiction against Blue's rear echelons.,Disrupting Blue's rear echelons aligns with the doctrine of vertical envelopment and operational tempo. [refs: Doctrines.md — Tenet: Vertical envelopment],B-d2-3-048: Launch F-16 squadron to intercept Red Mirage strike squadron targeting rear echelons.,"Prevent Red's air interdiction from disrupting Blue's rear echelons, maintaining operational integrity and supply lines. [refs: Doctrines.md - Air defense planning at brigade and below.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",49,"naval 6/6, air 19/19, ground 64/64",44,"magazines=384, airframes=185, hulls=378","magazines=240, airframes=148, hulls=8"
11,D+48h,اندفاع نحو 40-50 كم,mines,R-d3-404-013: Deploy engineering battalion to clear mine lanes for advancing mechanized units.,Clearing mine lanes is crucial for maintaining combined-arms mobility and ensuring the momentum of the advance. [refs: Doctrines.md — Tenet: Combined-arms mobility],B-d1-3-036: Deploy mine layers to reinforce minefields in response to Red's clearance efforts.,"Maintain the effectiveness of sea mines as a counter-mobility measure to disrupt Red's mechanized advance. [refs: Doctrines.md - Countermobility = terrain reinforcement + obstacle employment to disrupt, fix, turn, or block enemy movement.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",49,"naval 6/6, air 19/19, ground 64/64",44,"magazines=384, airframes=185, hulls=378","magazines=240, airframes=148, hulls=8"
11,D+48h,اندفاع نحو 40-50 كم,usv_uav,R-d3-16-067: Deploy kamikaze UAVs to target Blue's coastal radar installations.,Neutralizing Blue's radar installations is critical for reducing their situational awareness and air defense capability. [refs: Doctrines.md — Tenet: Saturation strikes],B-d2-12-059: Deploy UAV strike squadron to intercept Red's kamikaze UAVs targeting coastal radar installations.,Protect critical radar installations to maintain situational awareness and air defense capabilities. [refs: ATP 3-01.81 C-UAS (Aug 2023) — FAS],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",49,"naval 6/6, air 19/19, ground 64/64",44,"magazines=384, airframes=185, hulls=378","magazines=240, airframes=148, hulls=8"
11,D+48h,اندفاع نحو 40-50 كم,sof,R-d1-21-073: Conduct SOF insertion to disrupt Blue's rear-area C2 nodes.,"Disrupting C2 aligns with the doctrine of vertical envelopment, creating chaos in Blue's command structure. [refs: Doctrines.md — Tenet: Vertical envelopment]",,,,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",49,"naval 6/6, air 19/19, ground 64/64",44,"magazines=384, airframes=185, hulls=378","magazines=240, airframes=148, hulls=8"
11,D+48h,اندفاع نحو 40-50 كم,land,R-d2-4-004: Execute combined-arms maneuver to penetrate Blue's defensive line.,Penetration is a key offensive form to exploit gaps and maintain operational tempo. [refs: Doctrines.md — Tenet: Combined arms maneuver],B-d1-54-009: Hold position — preserving reserve combat power for Red culmination per ADP 3-0.,"Maintain defensive posture to exploit Red's culmination and counterattack effectively when Red is operationally exposed. [refs: Doctrines.md - Defense types: area defense, mobile defense, retrograde.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",49,"naval 6/6, air 19/19, ground 64/64",44,"magazines=384, airframes=185, hulls=378","magazines=240, airframes=148, hulls=8"
11,D+48h,اندفاع نحو 40-50 كم,ew,R-d3-405-014: Conduct continuous jamming operations to degrade Blue's C2 capabilities.,Persistent EW is essential to maintain pressure on Blue's communication and coordination. [refs: Doctrines.md — Tenet: EW persistent throughout],B-d1-505-022: Conduct electronic countermeasures to disrupt Red's jamming operations.,"Protect Blue's C2 capabilities by countering Red's electronic warfare efforts, ensuring effective command and control. [refs: Doctrines.md - Protection through hardening, dispersal, concealment, deception.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",49,"naval 6/6, air 19/19, ground 64/64",44,"magazines=384, airframes=185, hulls=378","magazines=240, airframes=148, hulls=8"
12,D+72h,المرحلة 3 - الفرقة المدرعة 1 تنزل,strategic,R-d0-500-077: Held in reserve — preserving SSM magazine for H-hour saturation salvo per opening-day concentration doctrine.,"Strategic SSMs are held to ensure maximum impact during critical phases of the operation. [refs: JP 3-02 amphibious phases, FM 3-90 attacker 3:1]",,,"Red's attempt to land the 1st Armored Division faced significant challenges. Blue's reinforced minefields delayed Red's landing ships, with R-d3-60-028 losing 2 hulls to mines. Red's kamikaze UAVs targeted Blue's coastal radar, but Blue's ISR UAVs intercepted 3 of them. Red's attack helicopters faced Blue's air defense sorties, resulting in the loss of 1 airframe. Blue's electronic countermeasures effectively disrupted Red's jamming efforts, maintaining Blue's C2 integrity.","strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",53,"naval 6/6, air 19/19, ground 64/64",48,"magazines=384, airframes=183, hulls=364","magazines=240, airframes=148, hulls=8"
12,D+72h,المرحلة 3 - الفرقة المدرعة 1 تنزل,maritime,R-d3-60-028: Deploy landing ships to reinforce beachhead and support 1-AD landing.,"Ensure mass at the decisive point by landing heavy armor to exploit gaps in Blue's defense. [refs: JP 3-02 amphibious phases, AJP-3.1 maritime ops]",B-d1-3-036: Deploy mine layers to reinforce remaining sea minefields and disrupt Red's landing operations.,"Enhance existing obstacles to disrupt and delay Red's amphibious operations, leveraging the doctrinal advantage of obstacle reinforcement. [refs: Doctrines.md - Obstacle types: existing, reinforcing (mines, wire, antitank ditch). Obstacle effects: disrupt, fix, turn, block.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",53,"naval 6/6, air 19/19, ground 64/64",48,"magazines=384, airframes=183, hulls=364","magazines=240, airframes=148, hulls=8"
